"","shock","country","club","clubsize","welfare","importer","cgroup","clubindex","rawshock"
"165",1,1,6,2,1.0059129450441,"Brazil","1.6","2:6",0.25
"166",1,7,7,6,1.00014106187112,"US","7.7","6:7",0.25
"167",1,7,18,3,0.976704718793231,"US","7.18","3:18",0.25
"168",1,3,6,2,0.9962795325848,"EU","3.6","2:6",0.25
"169",1,1,32,3,0.992808987140132,"Brazil","1.32","3:32",0.25
"170",1,4,6,2,0.997742385277717,"India","4.6","2:6",0.25
"171",1,7,6,2,1.0166540196825,"US","7.6","2:6",0.25
"172",1,6,6,2,0.988729039334684,"ROW","6.6","2:6",0.25
"173",1,3,32,3,0.986074905146788,"EU","3.32","3:32",0.25
"174",1,5,33,4,0.980935121017875,"Japan","5.33","4:33",0.25
"175",1,3,21,3,0.983550780896033,"EU","3.21","3:21",0.25
"176",1,5,10,3,1.01133524521608,"Japan","5.10","3:10",0.25
"177",1,1,11,4,1.00688292904582,"Brazil","1.11","4:11",0.25
"178",1,7,9,5,1.00628568064262,"US","7.9","5:9",0.25
"179",1,2,11,4,0.992052733831771,"China","2.11","4:11",0.25
"180",1,3,5,1,0.998946644702373,"EU","3.5","1:5",0.25
"181",1,1,35,3,0.988941285026117,"Brazil","1.35","3:35",0.25
"182",1,6,11,4,0.979654787817264,"ROW","6.11","4:11",0.25
"183",1,7,11,4,0.993297558979405,"US","7.11","4:11",0.25
"184",1,3,2,6,1.00729892296128,"EU","3.2","6:2",0.25
"185",1,4,24,3,0.995041386829295,"India","4.24","3:24",0.25
"186",1,1,1,5,1.00597101908115,"Brazil","1.1","5:1",0.25
"187",1,6,12,5,0.967938116355754,"ROW","6.12","5:12",0.25
"188",1,4,13,3,0.988797725009131,"India","4.13","3:13",0.25
"189",1,7,13,3,0.985454298450799,"US","7.13","3:13",0.25
"190",1,3,2,3,0.995576184062926,"EU","3.2","3:2",0.25
"191",1,2,1,2,1.01029298049829,"China","2.1","2:1",0.25
"192",1,1,27,3,0.987620319288915,"Brazil","1.27","3:27",0.25
"193",1,7,25,4,1.01032395244689,"US","7.25","4:25",0.25
"194",1,6,3,4,1.00906284522915,"ROW","6.3","4:3",0.25
"195",1,4,27,3,1.00563784095734,"India","4.27","3:27",0.25
"196",1,5,27,3,0.987211099688162,"Japan","5.27","3:27",0.25
"197",1,6,27,3,1.0090003500847,"ROW","6.27","3:27",0.25
"198",1,7,27,3,0.981114394506074,"US","7.27","3:27",0.25
"199",1,5,4,5,1.0031278941608,"Japan","5.4","5:4",0.25
"200",1,3,7,5,0.980985270768394,"EU","3.7","5:7",0.25
"201",1,3,15,2,1.0117332151452,"EU","3.15","2:15",0.25
"202",1,2,17,4,0.986655435216473,"China","2.17","4:17",0.25
"203",1,1,18,5,0.980980418095783,"Brazil","1.18","5:18",0.25
"204",1,2,18,5,1.00233783988588,"China","2.18","5:18",0.25
"205",1,1,8,3,1.00606468511816,"Brazil","1.8","3:8",0.25
"206",1,5,18,5,0.972770140545582,"Japan","5.18","5:18",0.25
"207",1,2,8,3,0.985579896260764,"China","2.8","3:8",0.25
"208",1,4,30,3,0.992855326045351,"India","4.30","3:30",0.25
"209",1,7,18,5,1.00195981802935,"US","7.18","5:18",0.25
"210",1,5,9,4,1.00900765611345,"Japan","5.9","4:9",0.25
"211",1,7,8,3,0.981157839140094,"US","7.8","3:8",0.25
"212",1,4,20,4,0.985444247115675,"India","4.20","4:20",0.25
"213",1,2,3,1,0.996233739606044,"China","2.3","1:3",0.25
"214",1,2,10,5,1.00111738949363,"China","2.10","5:10",0.25
"215",1,4,7,2,0.993545828540964,"India","4.7","2:7",0.25
"216",1,5,33,3,1.01075106094669,"Japan","5.33","3:33",0.25
"217",1,7,3,1,0.995906004989309,"US","7.3","1:3",0.25
"218",1,1,34,4,0.982621001941706,"Brazil","1.34","4:34",0.25
"219",1,4,34,4,0.979428014490534,"India","4.34","4:34",0.25
"220",1,1,10,2,0.991884554315155,"Brazil","1.10","2:10",0.25
"221",1,7,22,3,1.01237207663259,"US","7.22","3:22",0.25
"222",1,3,23,4,1.00802961404346,"EU","3.23","4:23",0.25
"223",1,3,10,2,0.984249794785044,"EU","3.10","2:10",0.25
"224",1,7,34,4,1.00565264473009,"US","7.34","4:34",0.25
"225",1,4,13,5,1.00393342827763,"India","4.13","5:13",0.25
"226",1,7,10,2,0.983855421877777,"US","7.10","2:10",0.25
"227",1,4,1,4,1.00433065870012,"India","4.1","4:1",0.25
"228",1,4,10,2,0.987328875418729,"India","4.10","2:10",0.25
"229",1,6,14,3,0.984670971621587,"ROW","6.14","3:14",0.25
"230",1,5,25,3,0.978348093177936,"Japan","5.25","3:25",0.25
"231",1,5,14,3,1.01074241847999,"Japan","5.14","3:14",0.25
"232",1,1,15,4,1.00434326196216,"Brazil","1.15","4:15",0.25
"233",1,7,13,5,1.00681018101446,"US","7.13","5:13",0.25
"234",1,4,15,4,0.992690991552438,"India","4.15","4:15",0.25
"235",1,1,4,4,1.00341036400452,"Brazil","1.4","4:4",0.25
"236",1,1,6,6,1.0015330896601,"Brazil","1.6","6:6",0.25
"237",1,3,4,4,1.00824112090729,"EU","3.4","4:4",0.25
