"","ClubSize","importer","xBeta","x2Beta","df","r2","SlopeAtTen","PessShock","WelfareStar","Welfare5pct"
"15",3,"Brazil",-0.0395628489064996,0.0198539072754724,5767,0.832699655425552,-0.0355920674514051,0.996349191057613,0.980290793748037,0.998071492322864
"16",3,"China",-0.0505655241924863,0.0299577419331986,5767,0.832699655425552,-0.0445739758058466,0.843947522901427,0.97866267555677,0.997546618145209
"17",3,"EU",-0.0491659543841464,0.024335757379218,5767,0.832699655425552,-0.0442988029083028,1.01015870634321,0.975167291561591,0.997602541674241
"18",3,"India",-0.0518940304037874,0.0353805960416363,5767,0.832699655425552,-0.0448179111954601,0.733368515650752,0.98097127597582,0.997493749969915
"19",3,"Japan",-0.0535171148359794,0.0278183207256959,5767,0.832699655425552,-0.0479534506908402,0.961904123611339,0.974260833277745,0.997393690060015
"20",3,"ROW",-0.0872274504108031,0.0434516756233212,5767,0.832699655425552,-0.0785371152861388,1.00372942078195,0.956223620861439,0.995747256668518
"21",3,"US",-0.0536266347391046,0.026414026402506,5767,0.832699655425552,-0.0483438294586034,1.01511662633185,0.972781355731055,0.997384703329051
"22",2,"Brazil",-0.0251135556854081,0.0123320725599576,4302,0.733365487602402,-0.0226471411734166,1.01822120991049,0.987214422472425,0.998775152397129
"23",2,"China",-0.0316579814799367,0.0162541707769107,4302,0.733365487602402,-0.0284071473245546,0.973841788499828,0.984585067347642,0.998457736352945
"24",2,"EU",-0.0314325029838672,0.015280772287515,4302,0.733365487602402,-0.0283763485263642,1.02849850755085,0.983835858796252,0.998466576781525
"25",2,"India",-0.0317009986383369,0.019503800808746,4302,0.733365487602402,-0.0278002384765877,0.812687715312429,0.987118493921744,0.998463709570105
"26",2,"Japan",-0.0337346335704714,0.0172257197280515,4302,0.733365487602402,-0.0302894896248611,0.979193731903567,0.983483629129865,0.998356332620797
"27",2,"ROW",-0.0570921790418282,0.0281028917889074,4302,0.733365487602402,-0.0514716006840468,1.01577053832523,0.971003723280261,0.997215648277381
"28",2,"US",-0.0340551923378963,0.0164153412470507,4302,0.733365487602402,-0.0307721240884862,1.0372977273322,0.98233731319202,0.998338278736223
"29",5,"Brazil",-0.0722951870668421,0.037520309069327,1785,0.929912794338981,-0.0647911252529767,0.963414066409487,0.96517489992305,0.996479041419331
"30",5,"China",-0.0923036826357258,0.0867441670787447,1785,0.929912794338981,-0.0749548492199769,0.532045472013896,0.975445121801727,0.995601676285911
"31",5,"EU",-0.0886840099120299,0.0452174515338385,1785,0.929912794338981,-0.0796405196052622,0.98063918800978,0.956516492265208,0.995678843133233
"32",5,"India",-0.0874278671044516,0.0471552734961301,1785,0.929912794338981,-0.0779968124052256,0.927021100955194,0.959476261191333,0.995746494828518
"33",5,"Japan",-0.0989750523357329,0.0527798495068967,1785,0.929912794338981,-0.0884190824343536,0.937621585324906,0.953599427260677,0.995183197006981
"34",5,"ROW",-0.150682595212251,0.0766916229697094,1785,0.929912794338981,-0.135344270618309,0.982392791920475,0.925985252297807,0.992657599296812
"35",5,"US",-0.0978629152800879,0.0499382391270395,1785,0.929912794338981,-0.08787526745468,0.979839467618505,0.952055026596182,0.995231699833813
"36",6,"Brazil",-0.0906059142113825,0.0476368454161735,377,0.817395572279195,-0.0810785451281478,0.951006656925064,0.956916586214097,0.995588796402971
"37",6,"China",-0.0912976347226622,0.113195489956656,377,0.817395572279195,-0.068658536731331,0.403274170895064,0.981591011026269,0.995718106988759
"38",6,"EU",-0.110480601799461,0.0570205676933471,377,0.817395572279195,-0.0990764882607912,0.968778515093169,0.946484383321059,0.99461852132926
"39",6,"India",-0.0550020809988381,0.030013381598184,377,0.817395572279195,-0.0489994046792013,0.916292634652106,0.974800999145113,0.997324929404054
"40",6,"Japan",-0.124684478018109,0.0670772406309409,377,0.817395572279195,-0.111269029891921,0.929409713677124,0.942058517492604,0.993933469200672
"41",6,"ROW",-0.281176598759501,0.344040230932606,377,0.817395572279195,-0.21236855257298,0.408639126298256,0.942550120173701,0.986801270639356
"42",6,"US",-0.122539860761652,0.063435489724752,377,0.817395572279195,-0.109852762816701,0.96586202213741,0.940821701146157,0.994031595686229
