, Brazil , Japan , EU , Sub.Saharan.Africa , Canada , United.States , Latin.America , Rest.Of.World , Southeast.Asia , Mideast.OIL , Russian.Federation , India , South.Africa , China , Ex.USSR ,,
, -   , -   , -   , -   , -   , -   , -   , (0.11), -   , 0.67 ,#DIV/0!, -   , -   , -   , -   , -   ,#DIV/0!
, -   , -   , -   , -   , -   , -   , -   , (0.07), -   , 0.06 , -   ,#DIV/0!, -   , -   , -   , -   ,#DIV/0!
, -   , -   , -   , -   , -   , -   , -   , (0.02), -   , 0.07 , -   , -   ,#DIV/0!, -   , -   , -   ,#DIV/0!
, -   , -   , -   , -   , -   , -   , -   , (0.09), -   , 0.17 , -   , -   , -   ,#DIV/0!, -   , -   ,#DIV/0!
, -   , -   , -   , -   , -   , -   , -   , (0.07), -   , 0.37 , -   , -   , -   , -   , -   , -   ,#DIV/0!
, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,#DIV/0!
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!," (250,719,777.24)",#DIV/0!," 53,056,204.00 ",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!," (823,108,793.20)",#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!," (14,915,283,890.13)",#DIV/0!," 1,550,944,087.37 ",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!," (168,289,995.37)",#DIV/0!," 6,115,766.76 ",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!," (164,005,855.86)",#DIV/0!," 5,740,635.92 ",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!," (1,141,522,397.47)",#DIV/0!," 111,531,502.86 ",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!," (321,301,238.26)",#DIV/0!," 24,378,668.74 ",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
